,title,author,rank,isbn,weeks_on_list,dagger,published_date
4966,MONSTER ________,Kendall Ryan,7,A00B014X8XL1Y,1,0,2015-12-06
4967,THE MARTIAN,Andy Weir,8,9780553418026,26,0,2015-12-06
4968,SEE ME,Nicholas Sparks,9,9781455520619,6,0,2015-12-06
4969,THE BAZAAR OF BAD DREAMS,Stephen King,10,9781501111679,3,0,2015-12-06
4970,THE MISTLETOE INN,Richard Paul Evans,11,9781501119798,1,0,2015-12-06
4971,STARS OF FORTUNE,Nora Roberts,12,9780425280102,3,0,2015-12-06
4972,ORPHAN #8,Kim van Alkemade,13,9780062338310,1,0,2015-12-06
4973,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,14,9781476746586,61,0,2015-12-06
4974,CRIMSON SHORE,Douglas Preston and Lincoln Child,15,9781455525935,2,0,2015-12-06
4975,THE GIRL ON THE TRAIN,Paula Hawkins,16,9780698185395,0,0,2015-12-06
4976,WARHEART,Terry Goodkind,17,9781466890404,0,0,2015-12-06
4977,THE PROMISE,Robert Crais,18,9780698146280,0,0,2015-12-06
4978,THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,19,9780062294418,0,0,2015-12-06
4979,SEVENTH HEAVEN,Alice Hoffman,20,9781453206362,0,0,2015-12-06
4980,CROSS JUSTICE,James Patterson,1,9780316407144,1,0,2015-12-13
4981,TRICKY TWENTY-TWO,Janet Evanovich,2,9780345542960,2,0,2015-12-13
4982,THE GUILTY,David Baldacci,3,9781455586417,2,0,2015-12-13
4983,SEE ME,Nicholas Sparks,4,9781455520619,7,0,2015-12-13
4984,ROGUE LAWYER,John Grisham,5,9780385539432,6,0,2015-12-13
4985,THE MARTIAN,Andy Weir,6,9780553418026,27,0,2015-12-13
4986,THE CROSSING,Michael Connelly,7,9780316225892,4,0,2015-12-13
4987,THE BAZAAR OF BAD DREAMS,Stephen King,8,9781501111679,4,0,2015-12-13
4988,WILD CAT,Christine Feehan,9,9780698197732,1,0,2015-12-13
4989,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,10,9781476746586,62,0,2015-12-13
4990,STARS OF FORTUNE,Nora Roberts,11,9780425280102,4,0,2015-12-13
4991,THE GIRL ON THE TRAIN,Paula Hawkins,12,9781594633669,44,0,2015-12-13
4992,THE MAN IN THE HIGH CASTLE,Philip K Dick,13,9780547601205,1,0,2015-12-13
4993,THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,14,9780062294418,2,0,2015-12-13
4994,ALL DRESSED IN WHITE,Mary Higgins Clark and Alafair Burke,15,9781501108556,2,0,2015-12-13
4995,NIGHT MOVES,Nora Roberts,16,9781460342787,0,0,2015-12-13
4996,THE PHARAOH'S SECRET,Clive Cussler and Graham Brown,17,9780399174117,0,0,2015-12-13
4997,THE NIGHTINGALE,Kristin Hannah,18,9781466850606,0,0,2015-12-13
4998,THE JAPANESE LOVER,Isabel Allende,19,9781501117008,0,0,2015-12-13
4999,GO SET A WATCHMAN,Harper Lee,20,9780062409850,0,0,2015-12-13
5000,THE NIGHTINGALE,Kristin Hannah,1,9781466850606,32,0,2015-12-20
5001,TOM CLANCY: COMMANDER IN CHIEF,Mark Greaney,2,9780698410619,1,0,2015-12-20
5002,CROSS JUSTICE,James Patterson,3,9780316407045,2,0,2015-12-20
5003,THE CROSSING,Michael Connelly,4,9780316225892,5,0,2015-12-20
5004,ROGUE LAWYER,John Grisham,5,9780385539432,7,0,2015-12-20
5005,THE GUILTY,David Baldacci,6,9781455586424,3,0,2015-12-20
5006,BLOOD KISS,J R Ward,7,9780698193277,1,0,2015-12-20
5007,THE MARTIAN,Andy Weir,8,9780553418026,28,0,2015-12-20
5008,GO SET A WATCHMAN,Harper Lee,9,9780062409874,13,0,2015-12-20
5009,TRICKY TWENTY-TWO,Janet Evanovich,10,9780345542960,3,0,2015-12-20
5010,PRECIOUS GIFTS,Danielle Steel,11,9780804179645,1,0,2015-12-20
5011,SEE ME,Nicholas Sparks,12,9781455520619,8,0,2015-12-20
5012,THE BAZAAR OF BAD DREAMS,Stephen King,13,9781501111679,5,0,2015-12-20
5013,THE GOOD GIRL,Mary Kubica,14,9781460330197,2,0,2015-12-20
5014,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,15,9781476746586,63,0,2015-12-20
5015,THE GIRL ON THE TRAIN,Paula Hawkins,16,9781594633669,0,0,2015-12-20
5016,THE STORIED LIFE OF A. J. FIKRY,Gabrielle Zevin,17,9781616203948,0,0,2015-12-20
5017,SWEET RUIN,Kresley Cole,18,9781451650044,0,0,2015-12-20
5018,THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,19,9780062294418,0,0,2015-12-20
5019,THE MAN IN THE HIGH CASTLE,Philip K Dick,20,9780547572482,0,0,2015-12-20
5020,ROGUE LAWYER,John Grisham,1,9780385539432,8,0,2015-12-27
5021,CROSS JUSTICE,James Patterson,2,9780316407045,3,0,2015-12-27
5022,THE GUILTY,David Baldacci,3,9781455586424,4,0,2015-12-27
5023,THE MARTIAN,Andy Weir,4,9780553418026,29,0,2015-12-27
5024,ASHLEY BELL,Dean Koontz,5,9780345545978,1,0,2015-12-27
5025,TOM CLANCY: COMMANDER IN CHIEF,Mark Greaney,6,9780399176760,2,0,2015-12-27
5026,SEE ME,Nicholas Sparks,7,9781455520619,9,0,2015-12-27
5027,TRICKY TWENTY-TWO,Janet Evanovich,8,9780345542960,4,0,2015-12-27
5028,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,9,9781476746586,64,0,2015-12-27
5029,THE GIRL ON THE TRAIN,Paula Hawkins,10,9781594633669,45,0,2015-12-27
5030,THE BAZAAR OF BAD DREAMS,Stephen King,11,9781501111679,6,0,2015-12-27
5031,THE NIGHTINGALE,Kristin Hannah,12,9780312577223,33,0,2015-12-27
5032,SECRET SISTERS,Jayne Ann Krentz,13,9780698193666,1,0,2015-12-27
5033,THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,14,9780062294418,3,0,2015-12-27
5034,THE CROSSING,Michael Connelly,15,9780316225885,6,0,2015-12-27
5035,GO SET A WATCHMAN,Harper Lee,16,9780062409850,0,0,2015-12-27
5036,PRECIOUS GIFTS,Danielle Steel,17,9780345531032,0,0,2015-12-27
5037,THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,18,9780385354288,0,0,2015-12-27
5038,THE MAN IN THE HIGH CASTLE,Philip K Dick,19,9780547572482,0,0,2015-12-27
5039,MY BRILLIANT FRIEND,Elena Ferrante,20,9781609450786,0,0,2015-12-27
5040,ROGUE LAWYER,John Grisham,1,9780385539432,9,0,2016-01-03
5041,THE MARTIAN,Andy Weir,2,9780553418026,30,0,2016-01-03
5042,CROSS JUSTICE,James Patterson,3,9780316407045,4,0,2016-01-03
5043,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,4,9781476746586,65,0,2016-01-03
5044,THE GIRL ON THE TRAIN,Paula Hawkins,5,9781594633669,46,0,2016-01-03
5045,SEE ME,Nicholas Sparks,6,9781455520619,10,0,2016-01-03
5046,THE GUILTY,David Baldacci,7,9781455586424,5,0,2016-01-03
5047,THE BAZAAR OF BAD DREAMS,Stephen King,8,9781501111679,7,0,2016-01-03
5048,THE BONE LABYRINTH,James Rollins,9,9780062381637,1,0,2016-01-03
5049,THE NIGHTINGALE,Kristin Hannah,10,9780312577223,34,0,2016-01-03
5050,TOM CLANCY: COMMANDER IN CHIEF,Mark Greaney,11,9780399176760,3,0,2016-01-03
5051,TRICKY TWENTY-TWO,Janet Evanovich,12,9780345542960,5,0,2016-01-03
5052,THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,13,9780062294418,4,0,2016-01-03
5053,GO SET A WATCHMAN,Harper Lee,14,9780062409850,14,0,2016-01-03
5054,ASHLEY BELL,Dean Koontz,15,9780345545961,2,0,2016-01-03
5055,THE CROSSING,Michael Connelly,16,9780316225885,0,0,2016-01-03
5056,THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,17,9780385354288,0,0,2016-01-03
5057,FATES AND FURIES,Lauren Groff,18,9781594634475,0,0,2016-01-03
5058,THE LAST ANNIVERSARY,Liane Moriarty,19,9780062008671,0,0,2016-01-03
5059,MY BRILLIANT FRIEND,Elena Ferrante,20,9781609450786,0,0,2016-01-03
5060,ROGUE LAWYER,John Grisham,1,9780385539432,10,0,2016-01-10
5061,THE MARTIAN,Andy Weir,2,9780553418026,31,0,2016-01-10
5062,CROSS JUSTICE,James Patterson,3,9780316407045,5,0,2016-01-10
5063,THE GIRL ON THE TRAIN,Paula Hawkins,4,9781594633669,47,0,2016-01-10
5064,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,5,9781476746586,66,0,2016-01-10
5065,SEE ME,Nicholas Sparks,6,9781455520619,11,0,2016-01-10
5066,THE BAZAAR OF BAD DREAMS,Stephen King,7,9781501111679,8,0,2016-01-10
5067,THE GUILTY,David Baldacci,8,9781455586424,6,0,2016-01-10
5068,THE NIGHTINGALE,Kristin Hannah,9,9780312577223,35,0,2016-01-10
5069,GO SET A WATCHMAN,Harper Lee,10,9780062409850,15,0,2016-01-10
5070,TRICKY TWENTY-TWO,Janet Evanovich,11,9780345542960,6,0,2016-01-10
5071,TOM CLANCY: COMMANDER IN CHIEF,Mark Greaney,12,9780399176760,4,0,2016-01-10
5072,ASHLEY BELL,Dean Koontz,13,9780345545961,3,0,2016-01-10
5073,THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,14,9780062294418,5,0,2016-01-10
5074,THE CHOICE,Nicholas Sparks,15,9781455588985,1,0,2016-01-10
5075,THE CROSSING,Michael Connelly,16,9780316225885,0,0,2016-01-10
5076,THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,17,9780385354288,0,0,2016-01-10
5077,FATES AND FURIES,Lauren Groff,18,9781594634475,0,0,2016-01-10
5078,MEMORY MAN,David Baldacci,19,9781455586387,0,0,2016-01-10
5079,A KNIGHT OF THE SEVEN KINGDOMS,George R R Martin,20,9780345533487,0,0,2016-01-10
5080,THE GIRL ON THE TRAIN,Paula Hawkins,1,9780698185395,48,0,2016-01-17
5081,THE MARTIAN,Andy Weir,2,9780804139038,32,0,2016-01-17
5082,ROGUE LAWYER,John Grisham,3,9780385539449,11,0,2016-01-17
5083,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,4,9781476746586,67,0,2016-01-17
5084,POINT BLANK,Fern Michaels,5,9781420135961,1,0,2016-01-17
5085,THE NIGHTINGALE,Kristin Hannah,6,9781466850606,36,0,2016-01-17
5086,CROSS JUSTICE,James Patterson,7,9780316407144,6,0,2016-01-17
5087,SEE ME,Nicholas Sparks,8,9781455520596,12,0,2016-01-17
5088,THE CHOICE,Nicholas Sparks,9,9781455588985,2,0,2016-01-17
5089,THE GUILTY,David Baldacci,10,9781455586417,7,0,2016-01-17
5090,PRETTY GIRLS,Karin Slaughter,11,9780062429063,5,0,2016-01-17
5091,THE FORGOTTEN SOLDIER,Brad Taylor,12,9780698404144,1,0,2016-01-17
5092,JANUARY,Audrey Carlan,13,A00B013CVOJEG,1,0,2016-01-17
5093,ANYTHING FOR YOU,Kristan Higgins,14,9781460391891,1,0,2016-01-17
5094,THE REVENANT,Michael Punke,15,9781250072689,1,0,2016-01-17
5095,TRICKY TWENTY-TWO,Janet Evanovich,16,9780345542984,0,0,2016-01-17
5096,THE GIRL IN THE GLASS,James Hayman,17,9780062435156,0,0,2016-01-17
5097,THE LAST ANNIVERSARY,Liane Moriarty,18,9780062008671,0,0,2016-01-17
5098,THE ROGUE NOT TAKEN,Sarah MacLean,19,9780062379399,0,0,2016-01-17
5099,TOM CLANCY: COMMANDER IN CHIEF,Mark Greaney,20,9780698410619,0,0,2016-01-17
5100,THE GIRL ON THE TRAIN,Paula Hawkins,1,9780698185395,49,0,2016-01-24
5101,ROGUE LAWYER,John Grisham,2,9780385539449,12,0,2016-01-24
5102,THE MARTIAN,Andy Weir,3,9780804139038,33,0,2016-01-24
5103,JANUARY,Audrey Carlan,4,A00B013CVOJEG,2,0,2016-01-24
5104,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,5,9781476746586,68,0,2016-01-24
5105,THE NIGHTINGALE,Kristin Hannah,6,9781466850606,37,0,2016-01-24
5106,THE FORCE AWAKENS,Alan Dean Foster,7,9781101965498,1,0,2016-01-24
5107,THE CHOICE,Nicholas Sparks,8,9780446401319,3,0,2016-01-24
5108,THE REVENANT,Michael Punke,9,9781250072689,2,0,2016-01-24
5109,THE LAST ANNIVERSARY,Liane Moriarty,10,9780062008671,1,0,2016-01-24
5110,CROSS JUSTICE,James Patterson,11,9780316407144,7,0,2016-01-24
5111,BIG ROCK,Lauren Blakely,12,A00B01A1E8WO0,1,0,2016-01-24
5112,THE GUILTY,David Baldacci,13,9781455586417,8,0,2016-01-24
5113,BUILT,Jay Crownover,14,9780062385956,1,0,2016-01-24
5114,SEE ME,Nicholas Sparks,15,9781455520596,13,0,2016-01-24
5115,NEW LEAF,Catherine Anderson,16,9780451418357,0,0,2016-01-24
5116,FEBRUARY,Audrey Carlan,17,A00B013CVOGNU,0,0,2016-01-24
5117,THE GUEST ROOM,Chris Bohjalian,18,9780385538909,0,0,2016-01-24
5118,LEXIE STARR COZY MYSTERIES BOXED SET,Jeanne Glidewell,19,9781614177821,0,0,2016-01-24
5119,MARCH,Audrey Carlan,20,A00B013CPIN1W,0,0,2016-01-24
5120,SCANDALOUS BEHAVIOR,Stuart Woods,1,9780698195059,1,0,2016-01-31
5121,MY NAME IS LUCY BARTON,Elizabeth Strout,2,9780812989076,1,0,2016-01-31
5122,THE REVENANT,Michael Punke,3,9781250066633,3,0,2016-01-31
5123,THE SCORE,Elle Kennedy,4,9780994054425,1,0,2016-01-31
5124,THE GIRL ON THE TRAIN,Paula Hawkins,5,9780698185395,50,0,2016-01-31
5125,THE MARTIAN,Andy Weir,6,9780804139038,34,0,2016-01-31
5126,SEBRING,Kristen Ashley,7,A00B0182LT4L4,1,0,2016-01-31
5127,JANUARY,Audrey Carlan,8,A00B013CVOJEG,3,0,2016-01-31
5128,THE CHOICE,Nicholas Sparks,9,9780446401319,4,0,2016-01-31
5129,THE NIGHTINGALE,Kristin Hannah,10,9781466850606,38,0,2016-01-31
5130,THE BITTER SEASON,Tami Hoag,11,9780698190832,1,0,2016-01-31
5131,ROGUE LAWYER,John Grisham,12,9780385539449,13,0,2016-01-31
5132,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,13,9781476746586,69,0,2016-01-31
5133,THE LAST ANNIVERSARY,Liane Moriarty,14,9780062008671,2,0,2016-01-31
5134,THE FORCE AWAKENS,Alan Dean Foster,15,9781101965498,2,0,2016-01-31
5135,A PARIS APARTMENT,Michelle Gable,16,9781466849624,0,0,2016-01-31
5136,THE BAKER'S DAUGHTER,Sarah McCoy,17,9780307460202,0,0,2016-01-31
5137,FEBRUARY,Audrey Carlan,18,A00B013CVOGNU,0,0,2016-01-31
5138,BIG ROCK,Lauren Blakely,19,A00B01A1E8WO0,0,0,2016-01-31
5139,THE DIRT ON NINTH GRAVE,Darynda Jones,20,9781466886155,0,0,2016-01-31
5140,BLUE,Danielle Steel,1,9780804179652,1,0,2016-02-07
5141,FEVERBORN,Karen Marie Moning,2,9780440339823,1,0,2016-02-07
5142,THE CHOICE,Nicholas Sparks,3,9780446401319,5,0,2016-02-07
5143,MY NAME IS LUCY BARTON,Elizabeth Strout,4,9780812989076,2,0,2016-02-07
5144,THE REVENANT,Michael Punke,5,9781250066633,4,0,2016-02-07
5145,THE BALLER,Vi Keeland,6,9781942215356,1,0,2016-02-07
5146,THE GIRL ON THE TRAIN,Paula Hawkins,7,9780698185395,51,0,2016-02-07
5147,THE NIGHTINGALE,Kristin Hannah,8,9781466850606,39,0,2016-02-07
5148,THE MARTIAN,Andy Weir,9,9780804139038,35,0,2016-02-07
5149,THE LAST ANNIVERSARY,Liane Moriarty,10,9780062008671,3,0,2016-02-07
5150,COLD BETRAYAL,J A Jance,11,9781476745077,2,0,2016-02-07
5151,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,12,9781476746586,70,0,2016-02-07
5152,ROGUE LAWYER,John Grisham,13,9780385539449,14,0,2016-02-07
5153,JANUARY,Audrey Carlan,14,A00B013CVOJEG,4,0,2016-02-07
5154,WARRIORS OF THE STORM,Bernard Cornwell,15,9780062250964,1,0,2016-02-07
5155,TOUGH CUSTOMER,Sandra Brown,16,9781416563228,0,0,2016-02-07
5156,IRISH THOROUGHBRED,Nora Roberts,17,9781101589182,0,0,2016-02-07
5157,SCANDALOUS BEHAVIOR,Stuart Woods,18,9780698195059,0,0,2016-02-07
5158,FEBRUARY,Audrey Carlan,19,A00B013CVOGNU,0,0,2016-02-07
5159,APRIL,Audrey Carlan,20,A00B013CW2LMW,0,0,2016-02-07
5160,NYPD RED 4,James Patterson and Marshall Karp,1,9780316288729,1,0,2016-02-14
5161,SPIDER GAME,Christine Feehan,2,9780698197749,1,0,2016-02-14
5162,THE BANDS OF MOURNING,Brandon Sanderson,3,9781466862678,1,0,2016-02-14
5163,THE CHOICE,Nicholas Sparks,4,9780446401319,6,0,2016-02-14
5164,MY NAME IS LUCY BARTON,Elizabeth Strout,5,9780812989076,3,0,2016-02-14
5165,BLUE,Danielle Steel,6,9780345531056,2,0,2016-02-14
5166,THE NIGHTINGALE,Kristin Hannah,7,9781466850606,40,0,2016-02-14
5167,THE LAST ANNIVERSARY,Liane Moriarty,8,9780062008671,4,0,2016-02-14
5168,THE GIRL ON THE TRAIN,Paula Hawkins,9,9780698185395,52,0,2016-02-14
5169,THE REVENANT,Michael Punke,10,9781250072689,5,0,2016-02-14
5170,MY AMERICAN DUCHESS,Eloisa James,11,9780062389442,1,0,2016-02-14
5171,THE BALLER,Vi Keeland,12,9781942215356,2,0,2016-02-14
5172,STAKED,Kevin Hearne,13,9780345548528,1,0,2016-02-14
5173,THE MARTIAN,Andy Weir,14,9780804139038,36,0,2016-02-14
5174,TOUGH CUSTOMER,Sandra Brown,15,9781416563228,1,0,2016-02-14
5175,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,16,9781476746586,0,0,2016-02-14
5176,THE SWANS OF FIFTH AVENUE,Melanie Benjamin,17,9780345539755,0,0,2016-02-14
5177,ROGUE LAWYER,John Grisham,18,9780385539449,0,0,2016-02-14
5178,JANUARY,Audrey Carlan,19,A00B013CVOJEG,0,0,2016-02-14
5179,INTO THE FURY,Kat Martin,20,9781420139013,0,0,2016-02-14
5180,BROTHERHOOD IN DEATH,J D Robb,1,9780698161481,1,0,2016-02-21
5181,BREAKDOWN,Jonathan Kellerman,2,9780345541413,1,0,2016-02-21
5182,ME BEFORE YOU,Jojo Moyes,3,9781101606377,1,0,2016-02-21
5183,THE CHOICE,Nicholas Sparks,4,9780446401319,7,0,2016-02-21
5184,NYPD RED 4,James Patterson and Marshall Karp,5,9780316288729,2,0,2016-02-21
5185,MY NAME IS LUCY BARTON,Elizabeth Strout,6,9780812989076,4,0,2016-02-21
5186,THE NIGHTINGALE,Kristin Hannah,7,9781466850606,41,0,2016-02-21
5187,THE GIRL ON THE TRAIN,Paula Hawkins,8,9780698185395,53,0,2016-02-21
5188,DEPRAVED HEART,Patricia Cornwell,9,9780062325426,3,0,2016-02-21
5189,BLUE,Danielle Steel,10,9780804179652,3,0,2016-02-21
5190,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,11,9781476746586,71,0,2016-02-21
5191,THE REVENANT,Michael Punke,12,9781250072689,6,0,2016-02-21
5192,JANUARY,Audrey Carlan,13,A00B013CVOJEG,5,0,2016-02-21
5193,THE MARTIAN,Andy Weir,14,9780553418026,37,0,2016-02-21
5194,WICKED SEXY LIAR,Christina Lauren,15,9781476777993,1,0,2016-02-21
5195,ROGUE LAWYER,John Grisham,16,9780385539449,0,0,2016-02-21
5196,THE LAST ANNIVERSARY,Liane Moriarty,17,9780062008671,0,0,2016-02-21
5197,BEAUTIFUL BURN,Jamie McGuire,18,9781310232152,0,0,2016-02-21
5198,THE BALLER,Vi Keeland,19,9781942215356,0,0,2016-02-21
5199,FEBRUARY,Audrey Carlan,20,A00B013CVOGNU,0,0,2016-02-21
5200,MORNING STAR,Pierce Brown,1,9780345539854,1,0,2016-02-28
5201,FIND HER,Lisa Gardner,2,9780698404229,1,0,2016-02-28
5202,ME BEFORE YOU,Jojo Moyes,3,9781101606377,2,0,2016-02-28
5203,BROTHERHOOD IN DEATH,J D Robb,4,9780698161481,2,0,2016-02-28
5204,NYPD RED 4,James Patterson and Marshall Karp,5,9780316288729,3,0,2016-02-28
5205,THE CHOICE,Nicholas Sparks,6,9780446401319,8,0,2016-02-28
5206,BREAKDOWN,Jonathan Kellerman,7,9780345541413,2,0,2016-02-28
5207,THE NIGHTINGALE,Kristin Hannah,8,9781466850606,42,0,2016-02-28
5208,THE GIRL ON THE TRAIN,Paula Hawkins,9,9781594633669,54,0,2016-02-28
5209,THE WOLVES,Alex Berenson,10,9780698407466,1,0,2016-02-28
5210,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,11,9781476746586,72,0,2016-02-28
5211,MY NAME IS LUCY BARTON,Elizabeth Strout,12,9780812989076,5,0,2016-02-28
5212,THE MARTIAN,Andy Weir,13,9780553418026,38,0,2016-02-28
5213,THE REVENANT,Michael Punke,14,9781250072689,7,0,2016-02-28
5214,A TASTE FOR DEATH,P D James,15,9780307758989,1,0,2016-02-28
5215,BLUE,Danielle Steel,16,9780804179652,0,0,2016-02-28
5216,THE LAST ANNIVERSARY,Liane Moriarty,17,9780062008671,0,0,2016-02-28
5217,ROGUE LAWYER,John Grisham,18,9780385539449,0,0,2016-02-28
5218,THE STRANGER,Harlan Coben,19,9780451414137,0,0,2016-02-28
5219,JANUARY,Audrey Carlan,20,A00B013CVOJEG,0,0,2016-02-28
5220,COMETH THE HOUR,Jeffrey Archer,1,9781466867505,1,0,2016-03-06
5221,ME BEFORE YOU,Jojo Moyes,2,9780143124542,3,0,2016-03-06
5222,ROOMHATE,Penelope Ward,3,9781942215363,1,0,2016-03-06
5223,FIND HER,Lisa Gardner,4,9780698404229,2,0,2016-03-06
5224,THE NIGHTINGALE,Kristin Hannah,5,9781466850606,43,0,2016-03-06
5225,NYPD RED 4,James Patterson and Marshall Karp,6,9780316288729,4,0,2016-03-06
5226,BROTHERHOOD IN DEATH,J D Robb,7,9780698161481,3,0,2016-03-06
5227,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,8,9781476746586,73,0,2016-03-06
5228,THE GIRL ON THE TRAIN,Paula Hawkins,9,9781594633669,55,0,2016-03-06
5229,THE NEXT ALWAYS,Nora Roberts,10,9781101545782,1,0,2016-03-06
5230,THE LIE,Karina Halle,11,A00B01BMKXYNQ,1,0,2016-03-06
5231,THE WIDOW,Fiona Barton,12,9781101990469,1,0,2016-03-06
5232,THE MARTIAN,Andy Weir,13,9780553418026,39,0,2016-03-06
5233,THE CHOICE,Nicholas Sparks,14,9780446401319,9,0,2016-03-06
5234,11/22/63,Stephen King,15,9781501120602,19,0,2016-03-06
5235,BREAKDOWN,Jonathan Kellerman,16,9780345541413,0,0,2016-03-06
5236,THE STRANGER,Harlan Coben,17,9780451414137,0,0,2016-03-06
5237,THE REVENANT,Michael Punke,18,9781250072689,0,0,2016-03-06
5238,BACKWARD GLANCE,Ron Carr,19,9781459295490,0,0,2016-03-06
5239,UNFINISHED BUSINESS,Nora Roberts,20,9781459295360,0,0,2016-03-06
5240,ME BEFORE YOU,Jojo Moyes,1,9780143124542,4,0,2016-03-13
5241,THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,2,9780385354295,10,0,2016-03-13
5242,A GIRL'S GUIDE TO MOVING ON,Debbie Macomber,3,9780553391930,1,0,2016-03-13
5243,RUNAWAY VAMPIRE,Lynsay Sands,4,9780062316059,1,0,2016-03-13
5244,THE NIGHTINGALE,Kristin Hannah,5,9781466850606,44,0,2016-03-13
5245,THE WEDDING DRESS,Rachel Hauck,6,9781401686314,1,0,2016-03-13
5246,COMETH THE HOUR,Jeffrey Archer,7,9781466867505,2,0,2016-03-13
5247,THE GIRL ON THE TRAIN,Paula Hawkins,8,9780698185395,56,0,2016-03-13
5248,GIRL MISSING,Tess Gerritsen,9,9780345549631,1,0,2016-03-13
5249,ROOMHATE,Penelope Ward,10,9781942215363,2,0,2016-03-13
5250,WEDDING CAKE MURDER,Joanne Fluke,11,9781617732171,1,0,2016-03-13
5251,FIGHTING DIRTY,Lori Foster,12,9781459292413,1,0,2016-03-13
5252,FIND HER,Lisa Gardner,13,9780698404229,3,0,2016-03-13
5253,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,14,9781476746586,74,0,2016-03-13
5254,THE WIDOW,Fiona Barton,15,9781101990469,2,0,2016-03-13
5255,NYPD RED 4,James Patterson and Marshall Karp,16,9780316288729,0,0,2016-03-13
5256,BROTHERHOOD IN DEATH,J D Robb,17,9780698161481,0,0,2016-03-13
5257,FROM SANCTUM WITH LOVE,Lexi Blake,18,9781937608491,0,0,2016-03-13
5258,ROOM,Emma Donoghue,19,9780316129114,0,0,2016-03-13
5259,REVENGE,Lisa Jackson,20,9781420136043,0,0,2016-03-13
5260,THE GANGSTER,Clive Cussler and Justin Scott,1,9780698406421,1,0,2016-03-20
5261,ME BEFORE YOU,Jojo Moyes,2,9780143124542,5,0,2016-03-20
5262,ROOM,Emma Donoghue,3,9780316129114,11,0,2016-03-20
5263,THE NIGHTINGALE,Kristin Hannah,4,9781466850606,45,0,2016-03-20
5264,THE WEDDING DRESS,Rachel Hauck,5,9781401686314,2,0,2016-03-20
5265,THE GIRL ON THE TRAIN,Paula Hawkins,6,9781594633669,57,0,2016-03-20
5266,KEEP QUIET,Lisa Scottoline,7,9781466842045,2,0,2016-03-20
5267,THE KITCHEN HOUSE,Kathleen Grissom,8,9781439160121,1,0,2016-03-20
5268,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,9,9781476746586,75,0,2016-03-20
5269,THE LIAR,Nora Roberts,10,9781101989753,7,0,2016-03-20
5270,FIND HER,Lisa Gardner,11,9780698404229,4,0,2016-03-20
5271,MEMORY MAN,David Baldacci,12,9781455559800,10,0,2016-03-20
5272,THE REVENANT,Michael Punke,13,9781250072689,8,0,2016-03-20
5273,THE MARTIAN,Andy Weir,14,9780553418026,40,0,2016-03-20
5274,BROOKLYN,Colm Toibin,15,9781501106477,1,0,2016-03-20
5275,THE WIDOW,Fiona Barton,16,9781101990469,0,0,2016-03-20
5276,BEAUTIFUL BOSS,Christina Lauren,17,9781501131226,0,0,2016-03-20
5277,A GIRL'S GUIDE TO MOVING ON,Debbie Macomber,18,9780553391923,0,0,2016-03-20
5278,COMETH THE HOUR,Jeffrey Archer,19,9781466867505,0,0,2016-03-20
5279,THE ENEMY INSIDE,Steve Martini,20,9780062328946,0,0,2016-03-20
5280,FIRE TOUCHED,Patricia Briggs,1,9780698180918,1,0,2016-03-27
5281,OFF THE GRID,C J Box,2,9780698410053,1,0,2016-03-27
5282,THE STEEL KISS,Jeffery Deaver,3,9781455536368,1,0,2016-03-27
5283,ME BEFORE YOU,Jojo Moyes,4,9780143124542,6,0,2016-03-27
5284,THE NIGHTINGALE,Kristin Hannah,5,9781466850606,46,0,2016-03-27
5285,ROCK WITH WINGS,Anne Hillerman,6,9780062270535,1,0,2016-03-27
5286,THE DROP,Michael Connelly,7,9780316069397,7,0,2016-03-27
5287,THE WATERS OF ETERNAL YOUTH,Donna Leon,8,9780802190314,1,0,2016-03-27
5288,THE LIAR,Nora Roberts,9,9781101989753,8,0,2016-03-27
5289,CLAWBACK,J A Jance,10,9781501110764,1,0,2016-03-27
5290,THE GIRL ON THE TRAIN,Paula Hawkins,11,9780698185395,58,0,2016-03-27
