isbn,genre,pages,title,author,rank,weeks_on_list,dagger,published_date
9780735219113,Fiction,384,WHERE THE CRAWDADS SING,Delia Owens,14,25,0,2019-03-17
9781455520664,Fiction,416,THE LONGEST RIDE,Nicholas Sparks,20,25,0,2015-05-17
9780399562488,Fiction,400,THE GIVER OF STARS,Jojo Moyes,15,25,0,2020-05-17
9781101967683,Fiction,432,THE WHISTLER,John Grisham,12,25,0,2017-09-24
9780547345666,Fiction,320,THE HANDMAID'S TALE,Margaret Atwood,6,25,0,2017-11-19
9780345543257,Fiction,368,GRAY MOUNTAIN,John Grisham,19,24,0,2015-11-08
9780062868947,Fiction,320,THE GUEST LIST,Lucy Foley,15,24,0,2021-09-05
9780307887443,Fiction,374,READY PLAYER ONE,Ernest Cline,14,24,0,2018-05-20
9780399562501,Fiction,416,THE GIVER OF STARS,Jojo Moyes,15,24,0,2020-05-10
9780385537865,Fiction,480,INFERNO,Dan Brown,16,23,0,2014-01-19
9780062060624,Fiction,416,THE SONG OF ACHILLES,Madeline Miller,15,23,0,2022-01-23
9780735222373,Fiction,592,THE LINCOLN HIGHWAY,Amor Towles,14,23,0,2022-03-27
9781524797157,Fiction,368,CAMINO ISLAND,John Grisham,13,23,0,2018-05-27
9781501110344,Fiction,320,NOVEMBER 9,Colleen Hoover,15,23,0,2022-09-11
9781101606377,Fiction,400,ME BEFORE YOU,Jojo Moyes,3,23,0,2016-07-24
9780385537926,Fiction,464,SYCAMORE ROW,John Grisham,19,23,0,2014-04-27
9780307272300,Fiction,512,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,20,22,0,2012-05-06
9781501160837,Fiction,352,ANXIOUS PEOPLE,Fredrik Backman,15,22,0,2021-02-21
9780385537858,Fiction,461,INFERNO,Dan Brown,15,22,0,2014-01-05
9780735222359,Fiction,592,THE LINCOLN HIGHWAY,Amor Towles,13,22,0,2022-03-20
9780812550702,Fiction,352,ENDER'S GAME,Orson Scott Card,20,22,0,2014-01-05
9780385536882,Fiction,352,THE RACKETEER,John Grisham,17,22,0,2013-11-10
9780553573404,Fiction,835,A GAME OF THRONES,George RR Martin,13,22,0,2012-01-08
9781429963930,Fiction,256,ENDER'S GAME,Orson Scott Card,20,21,0,2014-03-09
9780765387561,Fiction,448,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,15,21,0,2021-05-09
9780593336823,FICTION,401,THE LOVE HYPOTHESIS,Ali Hazelwood,15,21,0,2022-05-29
9781101883068,Fiction,496,LILAC GIRLS,Martha Hall Kelly,20,21,0,2019-03-03
9780062868954,Fiction,336,THE GUEST LIST,Lucy Foley,12,21,0,2021-01-17
9781250165619,Fiction,464,THE GREAT ALONE,Kristin Hannah,13,21,0,2019-12-08
9781250178602,Fiction,464,THE FOUR WINDS,Kristin Hannah,15,21,0,2021-07-11
9780440335160,Fiction,896,OUTLANDER,Diana Gabaldon,20,21,0,2017-09-24
9781101883082,Fiction,487,LILAC GIRLS,Martha Hall Kelly,15,20,0,2017-09-17
9780593157817,Fiction,640,A TIME FOR MERCY,John Grisham,13,20,0,2021-08-15
9780385514231,Adventure stories,461,ORIGIN,Dan Brown,14,20,0,2018-03-04
9781449486792,Poetry,248,THE SUN AND HER FLOWERS,Rupi Kaur,15,20,0,2018-04-01
9781250229533,Fiction,576,THE GREAT ALONE,Kristin Hannah,14,20,0,2019-10-27
9780385544191,Fiction,400,THE GUARDIANS,John Grisham,13,19,0,2020-03-08
9780062868930,Fiction,320,THE GUEST LIST,Lucy Foley,14,19,0,2020-11-08
9780553393484,Fiction,400,ROGUE LAWYER,John Grisham,19,19,0,2016-10-09
9780345803573,Fiction,1700,FIFTY SHADES TRILOGY,E L James,20,19,0,2015-03-08
9781501120602,Fiction,1120,11/22/63,Stephen King,15,19,0,2016-03-06
9781501171369,Fiction,320,THE LAST THING HE TOLD ME,Laura Dave,6,19,0,2021-09-26
9780307269997,Fiction,563,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,19,18,0,2012-01-08
9780063078901,Fiction,464,THE DUKE AND I,Julia Quinn,13,18,0,2022-05-01
9780765388117,Fiction,336,A DOG'S PURPOSE,W Bruce Cameron,15,18,0,2017-04-30
9781982127794,Fiction,1184,IT,Stephen King,15,18,0,2019-10-13
9780345530578,Fiction,382,THE RACKETEER,John Grisham,20,18,0,2014-01-05
9780446574242,Fiction,352,SAFE HAVEN,Nicholas Sparks,19,18,0,2013-06-02
9780385544184,Fiction,384,THE GUARDIANS,John Grisham,8,18,0,2020-03-01
9781451627305,Fiction,864,11/22/63,Stephen King,17,18,0,2013-12-08
9780385544153,Fiction,432,THE RECKONING,John Grisham,14,18,0,2019-03-10
9781982148249,Fiction,576,THE OUTSIDER,Stephen King,14,18,0,2020-03-15
9780143108863,Fiction,384,AFTER YOU,Jojo Moyes,20,17,0,2016-09-25
9780593157770,Fiction,352,CAMINO WINDS,John Grisham,13,17,0,2021-04-04
9780345544964,Fiction,528,SMALL GREAT THINGS,Jodi Picoult,14,17,0,2018-09-09
9781455520671,Fiction,512,TWO BY TWO,Nicholas Sparks,15,17,0,2018-07-01
9780345804327,FICTION,313,THE UNDERGROUND RAILROAD,Colson Whitehead,7,17,0,2021-03-21
9781982138868,Fiction,656,DOCTOR SLEEP,Stephen King,15,17,0,2019-11-17
9780385535250,Fiction,496,THE LITIGATORS,John Grisham,19,16,0,2012-03-04
9780385542364,Fiction,320,THE UNDERGROUND RAILROAD,Colson Whitehead,20,16,0,2017-02-12
9781594631764,Fiction,416,AND THE MOUNTAINS ECHOED,Khaled Hosseini,13,16,0,2014-01-05
9780593334836,Fiction,400,BOOK LOVERS,Emily Henry,12,16,0,2022-09-04
9780062678447,Fiction,464,THE WOMAN IN THE WINDOW,A.J. Finn,14,16,0,2018-07-15
9781982110567,Fiction,576,THE INSTITUTE,Stephen King,15,16,0,2020-01-12
9780385541206,Fiction,432,THE WHISTLER,John Grisham,14,16,0,2017-02-26
9780062424037,Fiction,464,THE DUKE AND I,Julia Quinn,8,16,0,2022-04-17
9781455520695,Fiction,496,TWO BY TWO,Nicholas Sparks,15,16,0,2017-02-05
9780307459923,Fiction,368,DARK PLACES,Gillian Flynn,20,16,0,2015-08-30
9780399593536,Fiction,512,PAST TENSE,Lee Child,15,16,0,2019-07-07
9780062409874,Fiction,288,GO SET A WATCHMAN,Harper Lee,9,16,0,2016-07-10
9780385539166,Fiction,384,GRAY MOUNTAIN,John Grisham,19,16,0,2015-03-08
9781455520602,Fiction,576,SEE ME,Nicholas Sparks,12,15,0,2017-07-02
9780385545969,Fiction,384,A TIME FOR MERCY,John Grisham,14,15,0,2021-02-07
9780446542180,Fiction,336,THE LUCKY ONE,Nicholas Sparks,20,15,0,2012-07-08
9781451681765,Fiction,352,THE LIGHT BETWEEN OCEANS,M L Stedman,20,15,0,2016-11-06
9780698175242,Fiction,384,THE INVENTION OF WINGS,Sue Monk Kidd,19,15,0,2014-06-08
9781250069832,Fiction,464,NINE PERFECT STRANGERS,Liane Moriarty,15,15,0,2021-09-26
9780062409850,Fiction,288,GO SET A WATCHMAN,Harper Lee,20,15,0,2016-01-10
9780446573047,Fiction,540,THE FORGOTTEN,David Baldacci,17,15,0,2013-05-05
9780316412711,Fiction,528,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,3,15,0,2018-11-11
9780307351487,Fiction,272,SHARP OBJECTS,Gillian Flynn,15,15,0,2018-09-23
9781501175466,Fiction,1184,IT,Stephen King,15,15,0,2017-12-10
9780385541176,Law schools,352,THE ROOSTER BAR,John Grisham,10,14,0,2018-02-11
9780385543781,Political fiction,419,THE TESTAMENTS,Margaret Atwood,15,14,0,2020-01-12
9780385539449,Fiction,352,ROGUE LAWYER,John Grisham,18,14,0,2016-02-28
9781455586486,Fiction,432,THE LAST MILE,David Baldacci,12,14,0,2017-05-14
9781455520657,Fiction,398,THE LONGEST RIDE,Nicholas Sparks,12,14,0,2014-01-05
9780385545938,Fiction,304,CAMINO WINDS,John Grisham,14,14,0,2020-08-16
9780063078697,Fiction,480,THE DUKE AND I,Julia Quinn,12,14,0,2021-04-18
9781101626276,Fiction,448,AND THE MOUNTAINS ECHOED,Khaled Hosseini,19,14,0,2014-01-12
9781501181016,Fiction,656,THE OUTSIDER,Stephen King,10,14,0,2020-02-02
9780316412698,Fiction,528,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,12,14,0,2018-09-23
9781476727660,Fiction,544,DOCTOR SLEEP,Stephen King,18,14,0,2014-01-19
9781476789651,Fiction,432,LUCKIEST GIRL ALIVE,Jessica Knoll,20,14,0,2015-09-06
9780062424075,Fiction,400,THE VISCOUNT WHO LOVED ME,Julia Quinn,12,14,0,2022-05-01
9780143124542,Fiction,401,ME BEFORE YOU,Jojo Moyes,8,13,0,2016-05-15
9781429960236,Fiction,304,THE SILVER LININGS PLAYBOOK,Matthew Quick,18,13,0,2013-06-02
9781429960274,Fiction,320,A DOG'S PURPOSE,W Bruce Cameron,3,13,0,2017-03-19
9781501180989,Fiction,576,THE OUTSIDER,Stephen King,13,13,0,2018-09-02
9780759514713,Fiction,416,THE LINCOLN LAWYER,Michael Connelly,18,13,0,2013-07-07
9781476727653,Fiction,531,DOCTOR SLEEP,Stephen King,10,13,0,2014-01-05
9781538728628,Fiction,400,THE WISH,Nicholas Sparks,8,13,0,2022-01-09
9781455502547,Fiction,304,THE BEST OF ME,Nicholas Sparks,19,13,0,2014-11-16
9781455586448,Fiction,560,THE LAST MILE,David Baldacci,15,13,0,2017-04-02
9780735211223,Fiction,400,INTO THE WATER,Paula Hawkins,12,13,0,2018-06-03
9781524798666,Fiction,400,MALIBU RISING,Taylor Jenkins Reid,7,13,0,2021-09-19
9780964729230,Fiction,249,THE SHACK,William P Young,17,13,0,2017-05-07
9781101946343,Fiction,576,GREY,E L James,20,13,0,2015-10-25
9781455520596,Fiction,304,SEE ME,Nicholas Sparks,15,13,0,2016-01-24
9780399593567,Fiction,480,BLUE MOON,Lee Child,14,13,0,2020-05-31
9780345527592,Fiction,432,DEFENDING JACOB,William Landay,20,13,0,2013-04-07
9780698152045,Fiction,368,AFTER YOU,Jojo Moyes,16,12,0,2016-07-31
9781524798659,Fiction,384,MALIBU RISING,Taylor Jenkins Reid,14,12,0,2021-09-05
9780316420051,Fiction,432,28 SUMMERS,Elin Hilderbrand,15,12,0,2020-09-20
9781982168438,Fiction,640,CLOUD CUCKOO LAND,Anthony Doerr,15,12,0,2022-01-16
9780615523774,Fiction,416,THE MILL RIVER RECLUSE,Darcie Chan,10,12,0,2013-09-29
9781538728529,Fiction,320,EVERY BREATH,Nicholas Sparks,12,12,0,2019-01-20
9781455521166,Fiction,512,THE ESCAPE,David Baldacci,11,12,0,2015-04-12
9780547416113,Fiction,352,LIFE OF PI,Yann Martel,20,12,0,2013-04-07
9781538761342,Fiction,464,THE FALLEN,David Baldacci,13,12,0,2019-04-07
9781455586585,Fiction,528,THE FIX,David Baldacci,15,12,0,2018-04-01
9781616208684,Fiction,336,AN AMERICAN MARRIAGE,Tayari Jones,11,12,0,2019-03-03
9780553582017,Fiction,1152,A DANCE WITH DRAGONS,George R R Martin,19,12,0,2014-01-05
9780062414212,Fiction,368,THE NEST,Cynthia D'Aprix Sweeney,14,11,0,2016-06-19
9781460398760,Fiction,400,THE LOST GIRLS OF PARIS,Pam Jenoff,11,11,0,2019-06-23
9781439157039,Fiction,320,STILL ALICE,Lisa Genova,19,11,0,2015-04-19
9780804178822,Fiction,496,NIGHT SCHOOL,Lee Child,15,11,0,2017-06-18
9780735211209,Fiction,400,INTO THE WATER,Paula Hawkins,14,11,0,2017-07-30
9781101946350,Fiction,640,GREY,E L James,11,11,0,2015-09-13
9781250069849,Fiction,432,NINE PERFECT STRANGERS,Liane Moriarty,13,11,0,2019-07-21
9780385541183,Fiction,368,THE ROOSTER BAR,John Grisham,8,11,0,2018-01-21
9781455521272,Fiction,432,THE ESCAPE,David Baldacci,20,11,0,2015-03-01
9780316420044,Fiction,432,28 SUMMERS,Elin Hilderbrand,12,11,0,2020-09-13
9780316129114,Fiction,336,ROOM,Emma Donoghue,19,11,0,2016-03-20
9780345544926,Fiction,405,LEAVING TIME,Jodi Picoult,14,11,0,2015-01-11
9781538761380,Fiction,464,THE FALLEN,David Baldacci,12,11,0,2018-09-30
9781501132933,Fiction,352,THE WOMAN IN CABIN 10,Ruth Ware,18,11,0,2016-11-13
9780307454546,Fiction,600,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,12,11,0,2011-07-03
9780345544957,Fiction,464,SMALL GREAT THINGS,Jodi Picoult,13,11,0,2017-01-08
9780307454553,Fiction,642,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,13,11,0,2012-01-08
9780062353641,Fiction,400,THE VISCOUNT WHO LOVED ME,Julia Quinn,15,11,0,2021-03-28
9781455520619,Fiction,496,SEE ME,Nicholas Sparks,12,11,0,2016-01-10
9780593135211,Fiction,496,PROJECT HAIL MARY,Andy Weir,15,11,0,2021-12-12
9781984818485,Fiction,464,THE SENTINEL,Lee Child and Andrew Child,13,11,0,2021-05-23
9780593356166,Fiction,302,THE MAID,Nita Prose,15,11,0,2022-04-03
9781101987605,Fiction,480,THE OBSESSION,Nora Roberts,10,11,0,2017-04-23
9781982173616,Fiction,528,BILLY SUMMERS,Stephen King,14,10,0,2022-01-09
9780385354295,Fiction,420,THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,18,10,0,2016-03-13
9781984822185,Fiction,0,NORMAL PEOPLE,Sally Rooney,15,10,0,2020-06-21
9780440245117,Fiction,528,THE CONFESSION,John Grisham,14,10,0,2011-09-11
9781501154652,Fiction,384,THEN SHE WAS GONE,Lisa Jewell,14,10,0,2020-09-20
9781455586509,Fiction,464,NO MAN'S LAND,David Baldacci,15,10,0,2017-04-09
9780385539432,Fiction,352,ROGUE LAWYER,John Grisham,5,10,0,2016-01-10
9780399593550,Fiction,368,BLUE MOON,Lee Child,13,10,0,2020-01-19
9780063003057,Fiction,368,THE PARIS APARTMENT,Lucy Foley,15,10,0,2022-05-15
9781538761472,Fiction,448,WALK THE WIRE,David Baldacci,10,10,0,2020-10-25
9781455559800,Fiction,560,MEMORY MAN,David Baldacci,18,10,0,2016-04-10
9781455586431,Fiction,448,THE GUILTY,David Baldacci,15,10,0,2016-04-17
9781982137977,Fiction,448,IF IT BLEEDS,Stephen King,15,10,0,2021-01-10
9781538761373,Fiction,432,THE FALLEN,David Baldacci,8,10,0,2018-07-15
9781455586462,Fiction,464,THE LAST MILE,David Baldacci,17,10,0,2016-10-09
9780375714368,Fiction,667,CUTTING FOR STONE,Abraham Verghese,20,10,0,2011-09-04
9781501132940,Fiction,352,THE WOMAN IN CABIN 10,Ruth Ware,16,10,0,2016-10-30
9781616207601,Fiction,336,AN AMERICAN MARRIAGE,Tayari Jones,15,10,0,2019-02-10
9780316225922,Fiction,400,THE BURNING ROOM,Michael Connelly,18,10,0,2015-02-08
9780804178792,Fiction,576,MAKE ME,Lee Child,17,10,0,2016-05-08
9780316206860,Fiction,464,THE CUCKOO'S CALLING,Robert Galbraith,19,10,0,2014-07-27
9780525954989,Fiction,928,THE EVENING AND THE MORNING,Ken Follett,15,10,0,2020-12-06
9780316194495,Fiction,384,KILL ALEX CROSS,James Patterson,14,10,0,2012-02-05
9780316098328,Fiction,352,ROOM,Emma Donoghue,20,10,0,2016-04-10
9780525541929,Fiction,320,SUCH A FUN AGE,Kiley Reid,14,10,0,2020-09-27
9780316407168,Fiction,432,CROSS THE LINE,James Patterson,10,10,0,2017-03-26
9780698152427,Fiction,400,THE INVENTION OF WINGS,Sue Monk Kidd,7,10,0,2014-03-30
9780345521323,Fiction,336,THE PARIS WIFE,Paula McLain,20,10,0,2011-10-09
9781101989753,Fiction,480,THE LIAR,Nora Roberts,14,10,0,2016-04-10
9781429985215,Fiction,304,SARAH’S KEY,Tatiana de Rosnay,19,10,0,2011-10-30
9780062414236,Fiction,432,THE NEST,Cynthia D'Aprix Sweeney,12,10,0,2016-06-12
9780778330271,Fiction,384,THE LOST GIRLS OF PARIS,Pam Jenoff,14,10,0,2019-05-05
9780316097529,Fiction,416,"ALEX CROSS, RUN",James Patterson,16,9,0,2013-05-12
9780385543989,Fiction,576,DARKER,EL James,15,9,0,2018-02-25
9781455589913,Fiction,496,THE MURDER HOUSE,James Patterson and David Ellis,20,9,0,2017-01-29
9780062888341,Fiction,288,THE STRANGER IN THE LIFEBOAT,Mitch Albom,15,9,0,2022-01-16
9780446401319,Fiction,288,THE CHOICE,Nicholas Sparks,14,9,0,2016-03-06
9780316127233,Fiction,400,NOW YOU SEE HER,James Patterson and Michael Ledwidge,11,9,0,2011-09-11
9780316055086,Fiction,349,THE LAST WISH,Andrzej Sapkowski,15,9,0,2020-03-15
9780553897852,Fiction,784,A CLASH OF KINGS,George RR Martin,18,9,0,2011-09-11
9780553905656,Fiction,1040,A DANCE WITH DRAGONS,George R R Martin,20,9,0,2012-09-09
9780316210942,Fiction,400,HOPE TO DIE,James Patterson,15,9,0,2015-02-08
9780385535137,Fiction,385,THE LITIGATORS,John Grisham,4,9,0,2012-01-08
9780593135204,Fiction,496,PROJECT HAIL MARY,Andy Weir,14,9,0,2021-08-01
9781455586554,Fiction,432,THE FIX,David Baldacci,10,9,0,2017-07-02
9780316407090,Fiction,400,CROSS THE LINE,James Patterson,15,9,0,2017-02-05
9781455586493,Fiction,432,NO MAN'S LAND,David Baldacci,14,9,0,2017-01-29
9781250220257,Fiction,480,APPLES NEVER FALL,Liane Moriarty,15,9,0,2021-11-28
9781455521289,Fiction,448,THE HIT,David Baldacci,12,9,0,2013-07-07
9781455520701,Fiction,300,TWO BY TWO,Nicholas Sparks,2,9,0,2016-12-18
9780446573009,Fiction,432,THE INNOCENT,David Baldacci,19,9,0,2012-07-22
9780525541905,Fiction,320,SUCH A FUN AGE,Kiley Reid,15,9,0,2020-03-15
9780399593543,Fiction,356,BLUE MOON,Lee Child,7,9,0,2020-01-12
9780399593499,Fiction,384,THE MIDNIGHT LINE,Lee Child,14,9,0,2018-01-21
9780399590597,Fiction,416,THE WATER DANCER,Ta-Nehisi Coates,15,9,0,2020-01-12
9781455586387,Fiction,328,MEMORY MAN,David Baldacci,20,9,0,2016-01-10
9780525954972,Fiction,928,A COLUMN OF FIRE,Ken Follett,14,9,0,2017-12-10
9780593359532,Fiction,496,SOOLEY,John Grisham,11,9,0,2022-03-20
9781455586455,Fiction,432,THE LAST MILE,David Baldacci,13,9,0,2016-07-03
9781455521234,Fiction,432,THE TARGET,David Baldacci,13,9,0,2014-07-06
9780593329825,Fiction,400,THE PAPER PALACE,Miranda Cowley Heller,14,9,0,2021-09-19
9781429904605,Fiction,336,SOMETHING BORROWED,Emily Giffin,19,9,0,2011-07-03
9781984806734,Fiction,384,BEACH READ,Emily Henry,15,9,0,2022-07-31
9781524796297,Fiction,736,FIRE AND BLOOD,George R.R. Martin,11,9,0,2022-09-11
9781250069818,Fiction,432,TRULY MADLY GUILTY,Liane Moriarty,18,9,0,2017-01-15
9781538761502,Fiction,432,WALK THE WIRE,David Baldacci,6,9,0,2020-07-12
9781984818461,FICTION,351,THE SENTINEL,Lee Child and Andrew Child,10,9,0,2021-01-10
9781538761410,Fiction,432,REDEMPTION,David Baldacci,12,9,0,2019-06-30
9781538761397,Fiction,432,THE FALLEN,David Baldacci,7,9,0,2018-07-01
9780804172066,Fiction,496,CHINA RICH GIRLFRIEND,Kevin Kwan,15,9,0,2018-10-21
9781984818423,Fiction,400,WISH YOU WERE HERE,Jodi Picoult,10,9,0,2022-03-13
9780804178754,Fiction,544,PERSONAL,Lee Child,19,9,0,2015-05-24
9781501193323,Fiction,320,ALL YOUR PERFECTS,Colleen Hoover,15,9,0,2022-09-04
9780735224292,Fiction,352,LITTLE FIRES EVERYWHERE,Celeste Ng,15,9,0,2018-01-07
9780440246329,Fiction,607,NEVER GO BACK,Lee Child,15,8,0,2014-04-27
9781984818539,Fiction,384,BETTER OFF DEAD,Lee Child and Andrew Child,15,8,0,2022-06-05
9781455586417,Fiction,432,THE GUILTY,David Baldacci,13,8,0,2016-01-24
9780440339359,Fiction,608,THE AFFAIR,Lee Child,20,8,0,2018-09-16
9781101874288,Fiction,368,A SPOOL OF BLUE THREAD,Anne Tyler,20,8,0,2015-05-03
9780345527707,Fiction,324,SMOKIN’ SEVENTEEN,Janet Evanovich,15,8,0,2011-12-18
9780316498029,Fiction,400,THE LAW OF INNOCENCE,Michael Connelly,5,8,0,2021-01-17
9781789096491,Fiction,272,LATER,Stephen King,14,8,0,2021-05-09
9781538761465,Fiction,432,WALK THE WIRE,David Baldacci,14,8,0,2020-06-28
9781984818416,Fiction,336,WISH YOU WERE HERE,Jodi Picoult,15,8,0,2022-02-06
